year4,sampledate,month,daynum,hour,avg_air_temp,flag_avg_air_temp,avg_rel_hum,flag_avg_rel_hum,avg_wind_speed,flag_avg_wind_speed,avg_wind_dir,flag_avg_wind_dir,avg_chlor,flag_chlor,avg_phycocyanin,flag_phycocyanin,avg_par,flag_par,avg_par_below,flag_par_below,avg_opt_wtemp,flag_avg_opt_wtemp,avg_opt_dosat_raw,flag_avg_opt_dosat_raw,avg_opt_do_raw,flag_avg_opt_do_raw
2016,"2016-03-22 00:00:00",3,82,500,5.50,,64.55,,3.61,,202.72,,,C,1146.68,,0.14,,0.20,,4.20,,107.52,,14.02,
2016,"2016-03-22 00:00:00",3,82,600,5.57,,64.70,,3.82,,201.35,,,C,1163.98,,1.87,,0.68,,4.19,,107.19,,13.98,
2016,"2016-03-22 00:00:00",3,82,700,5.61,,65.09,,3.79,,202.38,,,C,1102.45,,42.64,,14.11,,4.20,,107.08,,13.96,
2016,"2016-03-22 00:00:00",3,82,800,6.21,,63.74,,4.07,,207.58,,,C,1134.18,,213.30,,64.16,,4.21,,107.37,,14.00,
2016,"2016-03-22 00:00:00",3,82,900,6.99,,61.15,,4.85,,211.51,,,C,1133.65,,362.27,,111.58,,4.22,,107.64,,14.03,
2016,"2016-03-22 00:00:00",3,82,1000,7.59,,59.93,,4.49,,214.76,,,C,1143.68,,587.59,,189.07,,4.24,,107.98,,14.06,
2016,"2016-03-22 00:00:00",3,82,1100,8.10,,60.31,,4.10,,219.91,,,C,1121.20,,772.62,,251.96,,4.28,,108.58,,14.13,
2016,"2016-03-22 00:00:00",3,82,1200,8.78,,59.08,,5.00,,209.13,,,C,1123.10,,776.31,,258.23,,4.31,,109.11,,14.19,
2016,"2016-03-22 00:00:00",3,82,1300,9.42,,58.40,,4.19,,223.25,,,C,1114.53,,859.69,,289.13,,4.33,,109.55,,14.23,
2016,"2016-03-22 00:00:00",3,82,1400,9.96,,58.07,,3.12,,233.33,,,C,1129.92,,731.54,,236.45,,4.36,,109.88,,14.27,
2016,"2016-03-22 00:00:00",3,82,1500,10.50,,57.69,,1.33,,204.64,,,C,1102.58,,671.06,,218.34,,4.41,,110.82,,14.37,
2016,"2016-03-22 00:00:00",3,82,1600,10.25,,58.42,,1.42,,87.07,,,C,1222.00,,355.86,,108.18,,4.50,,112.55,,14.56,
2016,"2016-03-22 00:00:00",3,82,1700,10.47,,58.31,,1.37,,169.20,,,C,1267.63,,186.26,,54.39,,4.53,,114.12,,14.75,
2016,"2016-03-22 00:00:00",3,82,1800,10.22,,60.74,,1.06,,197.33,,,C,1227.10,,48.94,,14.39,,4.50,,114.15,,14.77,
2016,"2016-03-22 00:00:00",3,82,1900,8.81,,68.07,,1.21,,115.49,,,C,1329.33,,2.38,,0.91,,4.49,,113.96,,14.74,
2016,"2016-03-22 00:00:00",3,82,2000,8.18,,73.11,,3.02,,37.10,,,C,1333.85,,0.20,,0.09,,4.45,,112.94,,14.63,
2016,"2016-03-22 00:00:00",3,82,2100,6.28,,81.30,,6.89,,71.12,,,C,1091.55,,0.09,,0.09,,4.33,,108.94,,14.16,
2016,"2016-03-22 00:00:00",3,82,2200,4.49,,86.28,,4.92,,64.76,,,C,1073.45,,0.06,,0.09,,4.29,,107.44,,13.98,
2016,"2016-03-22 00:00:00",3,82,2300,3.37,,88.08,,4.96,,70.73,,,C,1095.48,,0.14,,0.09,,4.27,,106.82,,13.90,
2016,"2016-03-23 00:00:00",3,83,0,2.92,,88.31,,5.39,,68.35,,,C,1080.03,,0.09,,0.20,,4.26,,106.46,,13.86,
2016,"2016-03-23 00:00:00",3,83,100,2.66,,89.33,,6.19,,57.31,,,C,1080.97,,0.14,,0.09,,4.26,,106.31,,13.84,
2016,"2016-03-23 00:00:00",3,83,200,2.34,,90.00,,6.01,,78.29,,,C,1077.82,,0.09,,0.06,,4.26,,106.26,,13.83,
2016,"2016-03-23 00:00:00",3,83,300,2.19,,88.56,,5.70,,89.31,,,C,1075.28,,0.17,,0.17,,4.26,,106.16,,13.82,
2016,"2016-03-23 00:00:00",3,83,400,2.01,,89.20,,5.15,,76.88,,,C,1073.60,,0.06,,0.11,,4.26,,106.17,,13.82,
2016,"2016-03-23 00:00:00",3,83,500,1.88,,89.20,,6.34,,84.13,,,C,1075.17,,0.11,,0.09,,4.26,,106.14,,13.82,
2016,"2016-03-23 00:00:00",3,83,600,1.73,,89.41,,6.83,,86.09,,,C,1096.50,,0.96,,0.34,,4.26,,106.13,,13.82,
2016,"2016-03-23 00:00:00",3,83,700,1.59,,90.21,,7.53,,91.66,,,C,1242.97,,21.40,,7.69,,4.26,,106.11,,13.81,
2016,"2016-03-23 00:00:00",3,83,800,1.65,,88.19,,7.30,,99.64,,,C,1099.10,,53.79,,17.78,,4.26,,106.17,,13.82,
2016,"2016-03-23 00:00:00",3,83,900,1.85,,86.67,,8.00,,98.13,,,C,1119.20,,97.49,,27.83,,4.26,,106.16,,13.82,
2016,"2016-03-23 00:00:00",3,83,1000,1.71,,87.27,,6.10,,84.67,,,C,1094.87,,37.00,,13.22,,4.25,,106.11,,13.82,
2016,"2016-03-23 00:00:00",3,83,1100,1.38,,92.28,,5.91,,84.56,,,C,1125.60,,183.18,,54.20,,4.27,,106.81,,13.90,
2016,"2016-03-23 00:00:00",3,83,1200,1.46,,92.73,,5.78,,82.16,,,C,1132.22,,98.25,,29.64,,4.30,,108.02,,14.05,
2016,"2016-03-23 00:00:00",3,83,1300,1.44,,92.66,,7.14,,94.97,,,C,1146.60,,141.32,,40.98,,4.29,,108.05,,14.06,
2016,"2016-03-23 00:00:00",3,83,1400,1.51,,92.86,,7.17,,101.07,,,C,1130.42,,94.68,,27.40,,4.28,,107.88,,14.04,
2016,"2016-03-23 00:00:00",3,83,1500,1.49,,94.53,,7.27,,102.45,,,C,1135.15,,85.11,,26.59,,4.28,,107.83,,14.03,
2016,"2016-03-23 00:00:00",3,83,1600,1.37,,94.25,,7.25,,92.29,,,C,1124.17,,72.82,,23.58,,4.28,,107.75,,14.02,
2016,"2016-03-23 00:00:00",3,83,1700,1.27,,94.55,,7.20,,90.42,,,C,1131.58,,32.94,,12.24,,4.28,,107.41,,13.97,
2016,"2016-03-23 00:00:00",3,83,1800,1.28,,94.85,,7.32,,97.24,,,C,1110.08,,11.75,,4.65,,4.26,,106.64,,13.88,
2016,"2016-03-23 00:00:00",3,83,1900,1.18,,95.91,,7.59,,100.92,,,C,1087.52,,1.02,,0.14,,4.25,,106.26,,13.84,
2016,"2016-03-23 00:00:00",3,83,2000,0.94,,96.18,,7.01,,88.88,,,C,1067.73,,0.11,,0.03,,4.24,,106.18,,13.83,
2016,"2016-03-23 00:00:00",3,83,2100,0.92,,95.73,,7.64,,93.62,,,C,1310.22,,0.14,,0.11,,4.24,,106.10,,13.82,
2016,"2016-03-23 00:00:00",3,83,2200,1.01,,95.02,,7.99,,99.13,,,C,2124.73,,0.11,,0.06,,4.23,,105.95,,13.80,
2016,"2016-03-23 00:00:00",3,83,2300,0.83,,94.51,,8.67,,104.91,,,C,1255.78,,0.28,,0.17,,4.24,,106.05,,13.81,
2016,"2016-03-24 00:00:00",3,84,0,0.42,,94.94,,8.17,,104.86,,,C,1062.57,,0.23,,0.17,,4.20,,105.08,,13.70,
2016,"2016-03-24 00:00:00",3,84,100,0.30,,95.40,,7.31,,83.04,,,C,1062.07,,0.23,,0.09,,4.17,,104.68,,13.66,
2016,"2016-03-24 00:00:00",3,84,200,0.10,,97.17,,7.06,,87.36,,,C,1066.93,,0.20,,0.09,,4.15,,104.28,,13.61,
2016,"2016-03-24 00:00:00",3,84,300,0.10,,95.81,,7.39,,98.25,,,C,1056.65,,0.20,,0.17,,4.15,,104.15,,13.60,
2016,"2016-03-24 00:00:00",3,84,400,0.26,,94.45,,6.40,,99.39,,,C,1095.82,,0.17,,0.17,,4.20,,105.10,,13.70,
2016,"2016-03-24 00:00:00",3,84,500,0.20,,95.27,,6.42,,93.13,,,C,1072.15,,0.26,,0.26,,4.14,,103.75,,13.55,
2016,"2016-03-24 00:00:00",3,84,600,0.23,,95.75,,6.04,,70.79,,,C,1087.05,,0.37,,0.28,,4.11,,103.06,,13.47,
2016,"2016-03-24 00:00:00",3,84,700,0.19,,95.97,,5.90,,97.66,,,C,1087.22,,9.99,,3.57,,4.12,,103.17,,13.48,
2016,"2016-03-24 00:00:00",3,84,800,0.19,,95.60,,6.97,,224.71,,,C,1079.67,,31.07,,11.93,,4.11,,103.22,,13.49,
2016,"2016-03-24 00:00:00",3,84,900,0.01,,95.57,,6.74,,203.44,,,C,1077.93,,46.95,,17.50,,4.11,,103.31,,13.50,
2016,"2016-03-24 00:00:00",3,84,1000,-0.19,,94.58,,8.56,,59.43,,,C,1086.83,,87.12,,27.94,,4.11,,103.48,,13.53,
2016,"2016-03-24 00:00:00",3,84,1100,0.04,,93.23,,8.69,,69.10,,,C,1150.25,,156.52,,49.29,,4.10,,103.55,,13.53,
2016,"2016-03-24 00:00:00",3,84,1200,0.21,,90.08,,8.87,,80.60,,,C,1158.28,,173.02,,55.09,,4.10,,103.70,,13.56,
2016,"2016-03-24 00:00:00",3,84,1300,0.24,,88.61,,8.57,,117.03,,,C,1157.82,,269.40,,80.74,,4.11,,104.18,,13.61,
2016,"2016-03-24 00:00:00",3,84,1400,-0.01,,87.90,,8.60,,272.62,,,C,1202.10,,109.26,,32.21,,4.10,,104.04,,13.60,
2016,"2016-03-24 00:00:00",3,84,1500,-0.56,,89.70,,8.66,,300.88,,,C,1147.40,,84.47,,23.21,,4.07,,103.59,,13.55,
2016,"2016-03-24 00:00:00",3,84,1600,-0.87,,88.92,,9.03,,289.08,,,C,1436.17,,134.64,,33.89,,4.11,,104.27,,13.63,
2016,"2016-03-24 00:00:00",3,84,1700,-1.11,,90.42,,8.06,,305.43,,,C,1157.10,,296.40,,73.94,,4.11,,104.44,,13.65,
2016,"2016-03-24 00:00:00",3,84,1800,-0.80,,86.35,,6.63,,317.88,,,C,1111.40,,63.37,,18.19,,4.08,,103.98,,13.60,
2016,"2016-03-24 00:00:00",3,84,1900,-0.59,,85.94,,5.00,,312.76,,,C,1073.47,,3.38,,1.33,,4.01,,102.99,,13.50,
2016,"2016-03-24 00:00:00",3,84,2000,-0.46,,85.30,,3.83,,323.79,,,C,1063.35,,0.14,,0.17,,3.97,,102.39,,13.43,
2016,"2016-03-24 00:00:00",3,84,2100,-0.37,,85.72,,3.07,,318.85,,,C,1105.48,,0.23,,0.20,,3.92,,102.64,,13.48,
2016,"2016-03-24 00:00:00",3,84,2200,-0.40,,87.78,,2.71,,320.33,,,C,1106.53,,0.43,,0.06,,3.90,,102.53,,13.47,
2016,"2016-03-24 00:00:00",3,84,2300,-0.41,,88.50,,2.35,,334.64,,,C,1120.32,,0.40,,0.31,,3.90,,102.25,,13.44,
2016,"2016-03-25 00:00:00",3,85,0,-0.67,,90.40,,2.20,,320.18,,,C,1093.57,,0.34,,0.32,,3.94,,102.42,,13.45,
2016,"2016-03-25 00:00:00",3,85,100,-0.91,,91.77,,2.20,,315.06,,,C,1111.13,,0.14,,0.40,,4.00,,102.66,,13.45,
2016,"2016-03-25 00:00:00",3,85,200,-1.18,,91.90,,1.65,,84.19,,,C,1156.30,,0.35,,0.29,,4.02,,102.91,,13.48,
2016,"2016-03-25 00:00:00",3,85,300,-1.30,,91.51,,1.02,,62.13,,,C,1123.82,,0.26,,0.36,,4.01,,102.95,,13.49,
2016,"2016-03-25 00:00:00",3,85,400,-1.62,,93.96,,0.40,,50.60,,,C,1141.25,,0.26,,0.26,,4.02,,102.95,,13.49,
2016,"2016-03-25 00:00:00",3,85,500,-1.50,,93.02,,0.30,,56.13,,,C,1113.63,,0.29,,0.31,,3.99,,102.65,,13.46,
2016,"2016-03-25 00:00:00",3,85,600,-1.71,,94.14,,0.72,,257.84,,,C,1139.70,,5.39,,1.36,,3.96,,102.48,,13.45,
2016,"2016-03-25 00:00:00",3,85,700,-1.61,,83.67,,1.66,,201.57,,,C,1199.57,,235.86,,32.51,,3.93,,103.04,,13.53,
2016,"2016-03-25 00:00:00",3,85,800,-1.06,,79.04,,2.33,,161.95,,,C,1133.02,,646.61,,132.39,,3.99,,104.36,,13.68,
2016,"2016-03-25 00:00:00",3,85,900,-0.59,,75.37,,3.42,,176.82,,7696.00,C,992.75,,1005.55,,274.20,,4.10,,105.51,,13.79,
2016,"2016-03-25 00:00:00",3,85,1000,0.37,,75.63,,3.33,,177.38,,,C,932.35,,1288.50,,388.30,,4.15,,105.89,,13.82,
2016,"2016-03-25 00:00:00",3,85,1100,1.34,,75.27,,3.64,,179.92,,7234.81,C,896.35,,1455.12,,524.05,,4.21,,105.98,,13.81,
2016,"2016-03-25 00:00:00",3,85,1200,2.37,,73.51,,3.37,,180.67,,7107.17,,868.21,,1525.42,,562.12,,4.26,,106.33,,13.84,
2016,"2016-03-25 00:00:00",3,85,1300,3.54,,72.65,,2.67,,194.83,,6421.62,,848.42,,1444.31,,547.52,,4.34,,107.31,,13.94,
2016,"2016-03-25 00:00:00",3,85,1400,4.73,,69.99,,2.99,,212.93,,6455.72,C,883.75,,1122.09,,404.12,,4.42,,108.59,,14.08,
2016,"2016-03-25 00:00:00",3,85,1500,5.89,,64.06,,3.70,,206.95,,6682.31,,956.83,,975.95,,330.30,,4.42,,108.95,,14.12,
2016,"2016-03-25 00:00:00",3,85,1600,6.64,,58.53,,3.98,,209.07,,7394.64,,970.03,,741.76,,251.73,,4.38,,108.83,,14.12,
2016,"2016-03-25 00:00:00",3,85,1700,6.91,,59.15,,4.02,,195.95,,,C,1086.03,,436.49,,133.57,,4.33,,108.65,,14.12,
2016,"2016-03-25 00:00:00",3,85,1800,6.80,,60.95,,4.68,,195.64,,,C,1142.60,,140.20,,36.96,,4.26,,107.60,,14.01,
2016,"2016-03-25 00:00:00",3,85,1900,6.20,,64.90,,3.57,,196.58,,,C,1122.00,,9.36,,3.31,,4.21,,106.76,,13.92,
2016,"2016-03-25 00:00:00",3,85,2000,5.62,,68.70,,3.24,,186.49,,,C,1159.22,,1.25,,0.93,,4.20,,106.41,,13.88,
2016,"2016-03-25 00:00:00",3,85,2100,5.13,,70.94,,3.16,,208.84,,,C,1190.02,,1.21,,1.13,,4.16,,105.56,,13.78,
2016,"2016-03-25 00:00:00",3,85,2200,4.62,,72.75,,3.48,,181.61,,,C,1123.62,,1.28,C,0.45,,4.14,,105.00,,13.71,
2016,"2016-03-25 00:00:00",3,85,2300,4.11,,74.41,,3.42,,173.06,,,C,1145.05,,0.83,,0.96,,4.12,,104.49,,13.65,
2016,"2016-03-26 00:00:00",3,86,0,3.58,,79.30,,3.20,,154.91,,,C,1136.00,,1.83,,0.61,,4.11,,104.25,,13.62,
2016,"2016-03-26 00:00:00",3,86,100,2.73,,84.62,,4.21,,163.32,,,C,1089.82,,1.03,,0.89,,4.11,,104.13,,13.61,
2016,"2016-03-26 00:00:00",3,86,200,2.19,,86.11,,4.62,,180.44,,,C,1091.55,,0.94,,0.49,,4.10,,103.94,,13.59,
2016,"2016-03-26 00:00:00",3,86,300,2.12,,86.19,,3.74,,183.48,,,C,1122.72,,2.60,,1.57,,4.10,,103.73,,13.56,
2016,"2016-03-26 00:00:00",3,86,400,2.32,,86.01,,2.58,,170.15,,,C,1179.87,,1.05,,0.97,,4.10,,103.53,,13.53,
2016,"2016-03-26 00:00:00",3,86,500,2.15,,88.48,,2.47,,160.73,,,C,1169.95,,0.74,,0.95,,4.08,,103.25,,13.50,
2016,"2016-03-26 00:00:00",3,86,600,1.61,,91.72,,2.32,,148.25,,,C,1159.43,,7.23,,3.98,,4.08,,102.99,,13.47,
2016,"2016-03-26 00:00:00",3,86,700,1.66,,91.00,,2.62,,151.08,,,C,1113.75,,150.10,,35.97,,4.07,,103.42,,13.53,
2016,"2016-03-26 00:00:00",3,86,800,2.05,,88.89,,2.86,,164.20,,,C,1195.13,,527.87,,135.76,,4.10,,104.11,,13.61,
2016,"2016-03-26 00:00:00",3,86,900,3.07,,85.89,,3.18,,168.47,,,C,1170.70,,911.85,,270.91,,4.16,,104.94,,13.70,
2016,"2016-03-26 00:00:00",3,86,1000,4.91,,79.65,,2.82,,149.80,,,C,1155.40,,1185.02,,399.27,,4.24,,105.91,,13.79,
2016,"2016-03-26 00:00:00",3,86,1100,6.27,,74.56,,3.72,,160.77,,7700.00,C,1115.20,,1393.22,,537.02,,4.32,,106.90,,13.89,
2016,"2016-03-26 00:00:00",3,86,1200,7.29,,70.94,,3.86,,158.67,,7947.00,C,1062.53,,1396.30,,538.99,,4.38,,107.40,,13.94,
2016,"2016-03-26 00:00:00",3,86,1300,8.01,,67.15,,4.72,,155.45,,7731.60,C,1026.63,,1289.37,,497.50,,4.46,,108.57,,14.06,
2016,"2016-03-26 00:00:00",3,86,1400,8.84,,61.78,,4.56,,184.97,,7545.50,,1046.98,,1028.02,,364.43,,4.46,,108.87,,14.10,
2016,"2016-03-26 00:00:00",3,86,1500,9.14,,61.31,,4.90,,202.31,,,C,1134.33,,561.15,,183.51,,4.42,,108.57,,14.07,
2016,"2016-03-26 00:00:00",3,86,1600,8.98,,63.10,,4.45,,193.76,,,C,1157.40,,252.04,,79.39,,4.38,,108.22,,14.04,
2016,"2016-03-26 00:00:00",3,86,1700,8.85,,65.56,,4.29,,182.49,,,C,1138.62,,193.39,,61.03,,4.34,,107.55,,13.97,
2016,"2016-03-26 00:00:00",3,86,1800,8.48,,68.58,,3.72,,167.98,,,C,1090.53,,49.46,,16.37,,4.33,,107.25,,13.94,
2016,"2016-03-26 00:00:00",3,86,1900,7.86,,73.01,,1.81,,176.93,,,C,1130.48,,4.30,,2.49,,4.31,,106.62,,13.86,
2016,"2016-03-26 00:00:00",3,86,2000,6.96,,79.02,,2.73,,103.33,,,C,1238.47,,1.55,,1.54,,4.32,,106.53,,13.85,
2016,"2016-03-26 00:00:00",3,86,2100,6.77,,77.38,,3.75,,141.53,,,C,1118.92,,1.25,,1.27,C,4.32,,106.37,,13.83,
2016,"2016-03-26 00:00:00",3,86,2200,6.07,,79.66,,2.86,,131.14,,,C,1166.40,,0.73,,0.44,,4.32,,106.36,,13.82,
2016,"2016-03-26 00:00:00",3,86,2300,5.80,,81.10,,1.81,,138.80,,,C,1206.00,,0.00,,0.00,,4.33,,106.60,,13.85,
2016,"2016-03-28 00:00:00",3,88,1900,9.45,,43.94,,0.80,,163.95,,,C,1277.03,,10.29,,3.85,,5.14,,118.64,,15.10,H
2016,"2016-03-28 00:00:00",3,88,2000,7.75,,52.32,,0.90,,284.69,,,C,1311.37,,0.70,,0.56,,5.11,,118.41,,15.08,H
2016,"2016-03-29 00:00:00",3,89,900,,C,,C,,C,,C,3298.33,,-129.03,H,1271.20,,3529.57,,,C,0.00,H,0.00,H
2016,"2016-03-29 00:00:00",3,89,1000,8.10,C,71.82,C,2.67,C,121.22,C,4969.26,,476.86,H,996.37,,786.69,C,5.05,C,55.79,H,7.12,H
2016,"2016-03-29 00:00:00",3,89,1100,9.98,,56.73,,3.33,,172.32,,6335.40,C,995.55,,1419.80,,531.65,,5.29,,117.88,,14.94,
2016,"2016-03-29 00:00:00",3,89,1200,11.30,,46.16,,3.73,,202.93,,6555.28,,999.90,,1474.88,,577.69,,5.25,,118.38,,15.02,H
2016,"2016-03-29 00:00:00",3,89,1300,11.51,,47.40,,3.69,,201.78,,6032.02,,937.85,,1449.73,,563.54,,5.31,,118.00,,14.95,
2016,"2016-03-29 00:00:00",3,89,1400,11.85,,46.24,,4.10,,192.27,,5987.75,,905.30,,1219.80,,460.42,,5.35,,118.24,,14.97,
2016,"2016-03-29 00:00:00",3,89,1500,12.18,,45.60,,4.53,,187.36,,5985.97,,909.82,,1055.18,,392.19,,5.30,,117.55,,14.90,
2016,"2016-03-29 00:00:00",3,89,1600,12.38,,46.03,,5.15,,192.23,,6751.67,,929.13,,732.14,,260.12,,5.28,,117.94,,14.95,
2016,"2016-03-29 00:00:00",3,89,1700,12.10,,46.59,,6.05,,193.30,,7391.86,,1046.62,,304.03,,99.40,,5.24,,117.51,,14.91,
2016,"2016-03-29 00:00:00",3,89,1800,11.81,,46.80,,5.16,,204.06,,,C,1099.53,,89.20,,27.12,,5.10,,115.54,,14.72,
2016,"2016-03-29 00:00:00",3,89,1900,10.92,,51.87,,4.10,,189.62,,,C,1100.95,,7.33,,2.89,,4.98,,113.51,,14.50,
2016,"2016-03-29 00:00:00",3,89,2000,10.34,,52.56,,4.14,,181.80,,,C,1082.50,,0.71,,0.51,,4.94,,112.62,,14.40,
2016,"2016-03-29 00:00:00",3,89,2100,9.92,,52.72,,5.06,,180.44,,,C,1083.68,,1.32,,1.39,,4.92,,112.02,,14.33,
2016,"2016-03-29 00:00:00",3,89,2200,9.45,,53.13,,5.52,,186.09,,,C,1069.93,,1.09,,1.03,,4.90,,111.48,,14.27,
2016,"2016-03-29 00:00:00",3,89,2300,9.16,,53.30,,6.01,,189.43,,,C,1071.57,,0.77,C,0.85,C,4.87,,110.86,,14.20,
2016,"2016-03-30 00:00:00",3,90,0,8.71,,56.31,,5.51,,185.29,,,C,1068.67,,0.27,,0.42,,4.86,,110.51,,14.16,
2016,"2016-03-30 00:00:00",3,90,100,8.59,,57.01,,5.04,,180.46,,,C,1086.73,,0.79,,0.70,C,4.86,,110.27,,14.13,
2016,"2016-03-30 00:00:00",3,90,200,8.09,,59.98,,5.28,,176.74,,,C,1069.27,,0.22,,0.24,,4.86,,110.00,,14.10,
2016,"2016-03-30 00:00:00",3,90,300,7.53,,63.93,,4.06,,163.19,,,C,1080.15,,0.76,,0.46,,4.84,,109.53,,14.05,
2016,"2016-03-30 00:00:00",3,90,400,7.09,,68.47,,2.59,,144.28,,,C,1150.38,,0.66,,0.60,,4.83,,109.29,,14.02,
2016,"2016-03-30 00:00:00",3,90,500,6.73,,70.35,,3.47,,152.17,,,C,1119.58,,0.29,,0.47,,4.82,,108.99,,13.98,
2016,"2016-03-30 00:00:00",3,90,600,6.63,,70.28,,5.50,,165.41,,,C,1098.77,,2.58,,1.09,,4.80,,108.43,,13.92,
2016,"2016-03-30 00:00:00",3,90,700,6.59,,69.43,,6.83,,168.99,,,C,1062.17,,50.64,,17.53,,4.77,,107.99,,13.87,
2016,"2016-03-30 00:00:00",3,90,800,6.87,,66.06,,8.36,,179.51,,,C,1076.03,,182.43,,63.69,,4.75,,107.59,,13.83,
2016,"2016-03-30 00:00:00",3,90,900,7.53,,62.69,,8.72,,185.84,,,C,1067.35,,387.99,,142.76,,4.73,,107.28,,13.80,
2016,"2016-03-30 00:00:00",3,90,1000,7.94,,65.26,,7.63,,192.49,,,C,1034.00,,158.42,,55.69,,4.71,,106.78,,13.74,
2016,"2016-03-30 00:00:00",3,90,1100,7.12,,75.89,,6.16,,186.85,,,C,998.75,,90.28,,30.71,,4.72,,106.59,,13.71,
2016,"2016-03-30 00:00:00",3,90,1200,6.81,,81.94,,3.13,,188.95,,,C,1013.05,,125.51,,41.64,,4.72,,106.62,,13.72,
